symbol,company_name,isin,series,market_cap_cr
20MICRONS,20 Microns Limited,INE144J01027,EQ,0
21STCENMGM,21st Century Management Services Limited,INE253B01015,EQ,0
360ONE,360 ONE WAM LIMITED,INE466L01038,EQ,44534.71
3BBLACKBIO,3B Blackbio Dx Limited,INE994E01018,EQ,1072.83
3IINFOLTD,3i Infotech Limited,INE748C01038,BE,0
3MINDIA,3M India Limited,INE470A01017,EQ,35533.18
3PLAND,3P Land Holdings Limited,INE105C01023,EQ,0
5PAISA,5Paisa Capital Limited,INE618L01018,EQ,1452.65
63MOONS,63 moons technologies limited,INE111B01023,EQ,3046.48
A2ZINFRA,A2Z Infra Engineering Limited,INE619I01012,EQ,0
AAATECH,AAA Technologies Limited,INE0D0U01013,EQ,0
AADHARHFC,Aadhar Housing Finance Limited,INE883F01010,EQ,20682.89
AAKASH,Aakash Exploration Services Limited,INE087Z01024,EQ,0
AAREYDRUGS,Aarey Drugs & Pharmaceuticals Limited,INE198H01019,EQ,0
AARNAV,Aarnav Fashions Limited,INE750R01016,BE,0
AARON,Aaron Industries Limited,INE721Z01010,EQ,0
AARTECH,Aartech Solonics Limited,INE01C001026,BE,0
AARTIDRUGS,Aarti Drugs Limited,INE767A01016,EQ,3402.55
AARTIIND,Aarti Industries Limited,INE769A01020,EQ,15972.29
AARTIPHARM,Aarti Pharmalabs Limited,INE0LRU01027,EQ,5813.43
AARTISURF,Aarti Surfactants Limited,INE09EO01013,BE,0
AARVI,Aarvi Encon Limited,INE754X01016,EQ,0
AASTHA,Aastha Spintex Limited,INE2FMX01012,EQ,0
AAVAS,Aavas Financiers Limited,INE216P01012,EQ,11128.04
ABAN,Aban Offshore Limited,INE421A01028,BE,0
ABANSENT,Abans Enterprises Limited,INE365O01028,EQ,0
ABB,ABB India Limited,INE117A01022,EQ,143379.33
ABBOTINDIA,Abbott India Limited,INE358A01014,EQ,55826.27
ABCAPITAL,Aditya Birla Capital Limited,INE674K01013,EQ,93847.08
ABCOTS,A B Cotspin India Limited,INE08PH01015,EQ,0
ABDL,Allied Blenders and Distillers Limited,INE552Z01027,EQ,18034.31
ABFRL,Aditya Birla Fashion and Retail Limited,INE647O01011,EQ,7318.18
ABINFRA,A B Infrabuild Limited,INE00YB01025,BE,0
ABLBL,Aditya Birla Lifestyle Brands Limited,INE14LE01019,EQ,11997.73
ABMINTLLTD,ABM International Limited,INE251C01025,BE,0
ABMKNO,ABM Knowledgeware Limited,INE850B01026,EQ,0
ABREL,Aditya Birla Real Estate Limited,INE055A01016,EQ,13385.61
ABSLAMC,Aditya Birla Sun Life AMC Limited,INE404A01024,EQ,31816.48
